sequential,parallel
0.020056,0.024510
0.020812,0.023801
0.019707,0.024814
0.020080,0.024851
0.020290,0.028285
0.019484,0.023326
0.023724,0.033262
0.015490,0.023102
0.019578,0.023672
0.020439,0.024068
0.020643,0.024688
0.020135,0.024695
0.020220,0.024667
0.020167,0.024834
0.020206,0.024562
0.020171,0.025574
0.020189,0.026887
0.020946,0.026039
0.021355,0.025117
0.020048,0.030744
0.022396,0.024912
0.021611,0.032651
0.017492,0.012941
0.016507,0.013904
0.016473,0.034111
0.026399,0.030531
0.021967,0.026585
0.021589,0.024742
0.020220,0.024079
0.020418,0.025376
0.020108,0.024704
0.020265,0.025744
0.020194,0.025849
0.020559,0.024359
0.020607,0.024220
0.022368,0.024336
0.018701,0.029409
0.014530,0.023101
0.019177,0.022674
0.019402,0.028836
0.022183,0.024985
0.021014,0.024411
0.020455,0.024774
0.020110,0.024151
0.020516,0.025242
0.020261,0.025854
0.020213,0.024218
0.020282,0.024183
0.020601,0.032927
0.013732,0.024440
0.019263,0.022934
0.019168,0.027682
0.023210,0.032834
0.021871,0.027070
0.021777,0.025091
0.020014,0.019925
0.023350,0.029737
0.019686,0.025436
0.021284,0.024310
0.020451,0.024838
0.020164,0.024444
0.020224,0.025201
0.020209,0.025049
0.018085,0.032560
0.025944,0.034946
0.025910,0.024974
0.020190,0.024999
0.020520,0.027857
0.016575,0.028449
0.016829,0.023563
0.023025,0.026896
0.014008,0.032242
0.021852,0.029848
0.021457,0.031756
0.025280,0.025620
0.021063,0.024204
0.020647,0.025015
0.020553,0.024575
0.020317,0.024414
0.019426,0.024581
0.021678,0.025992
0.019694,0.024788
0.020234,0.024828
0.019028,0.016291
0.020622,0.025595
0.020294,0.025154
0.020651,0.026493
0.020127,0.024461
0.020286,0.024774
0.020330,0.024990
0.021058,0.024866
0.020256,0.024733
0.019469,0.024515
0.020340,0.024531
0.020173,0.025793
0.020195,0.024187
0.025283,0.023199
0.019110,0.022252
0.017935,0.023522
0.019767,0.024357
0.020407,0.024701
0.020135,0.024499
0.019815,0.029474
0.022792,0.025615
0.020718,0.031186
0.022867,0.033491
0.023882,0.026708
0.020057,0.024519
0.020612,0.024802
0.020172,0.024203
0.019788,0.029947
0.018441,0.028753
0.016872,0.027017
0.016177,0.031348
0.016091,0.023670
0.018658,0.013859
0.018901,0.028911
0.022288,0.025983
0.021609,0.025575
0.018730,0.018735
0.023276,0.030448
0.019613,0.025066
0.021169,0.024644
0.020209,0.024862
0.020352,0.024577
0.020209,0.024823
0.020153,0.024479
0.019876,0.029071
0.022203,0.026723
